country,date,fatalities,,,,
Israel,1971,1,,,,
Israel,1972,26,,,,
Israel,1973,2,,,,
Israel,1974,78,,,,
Israel,1975,24,,,,
Israel,1976,1,,,,
Israel,1977,5,,,,
Israel,1978,52,,,,
Israel,1979,64,,,,
Israel,1980,14,,,,
Israel,1981,3,,,,
Israel,1982,3,,,,
Israel,1983,16,,,,
Israel,1984,7,,,,
Israel,1985,12,,,,
Israel,1986,8,,,,
Israel,1987,11,,,,
Israel,1988,13,,,,
Israel,1989,43,,,,
Israel,1990,57,,,,
Israel,1991,31,,,,
Israel,1992,38,,,,
Israel,1994,60,,,,
Israel,1995,18,,,,
Israel,1996,73,,,,
Israel,1997,31,,,,
Israel,1998,19,,,,
Israel,1999,6,,,,
Israel,2000,11,,,,
Israel,2001,141,,,,
Israel,2002,337,,,,
Israel,2003,156,,,,
Israel,2004,59,,,,
Israel,2005,45,,,,
Israel,2006,57,,,,
Israel,2007,17,,,,
Israel,2008,34,,,,
Israel,2009,1,,,,
Israel,2010,4,,,,
Israel,2011,21,,,,
Israel,2012,14,,,,
Israel,2013,2,,,,
Israel,2014,49,,,,
Israel,2015,20,,,,
Israel,2016,16,,,,
Israel,2017,3,,,,
United States,1970,33,,,,
United States,1971,20,,,,
United States,1972,10,,,,
United States,1973,45,,,,
United States,1974,16,,,,
United States,1975,24,,,,
United States,1976,4,,,,
United States,1977,4,,,,
United States,1978,8,,,,
United States,1979,18,,,,
United States,1980,15,,,,
United States,1981,8,,,,
United States,1982,11,,,,
United States,1983,8,,,,
United States,1984,3,,,,
United States,1985,3,,,,
United States,1986,1,,,,
United States,1987,1,,,,
United States,1988,1,,,,
United States,1989,3,,,,
United States,1990,5,,,,
United States,1991,2,,,,
United States,1992,2,,,,
United States,1994,10,,,,
United States,1995,178,,,,
United States,1996,2,,,,
United States,1997,2,,,,
United States,1998,4,,,,
United States,1999,20,,,,
United States,2000,0,,,,
United States,2001,3008,,,,
United States,2002,4,,,,
United States,2003,0,,,,
United States,2004,0,,,,
United States,2005,0,,,,
United States,2006,1,,,,
United States,2007,0,,,,
United States,2008,2,,,,
United States,2009,18,,,,
United States,2010,4,,,,
United States,2011,0,,,,
United States,2012,7,,,,
United States,2013,23,,,,
United States,2014,26,,,,
United States,2015,54,,,,
United States,2016,68,,,,
United States,2017,95,,,,
Iran,1970,0,,,,
Iran,1971,4,,,,
Iran,1972,1,,,,
Iran,1973,1,,,,
Iran,1974,1,,,,
Iran,1975,8,,,,
Iran,1976,5,,,,
Iran,1977,2,,,,
Iran,1978,447,,,,
Iran,1979,57,,,,
Iran,1980,55,,,,
Iran,1981,224,,,,
Iran,1982,139,,,,
Iran,1983,0,,,,
Iran,1984,29,,,,
Iran,1985,22,,,,
Iran,1986,39,,,,
Iran,1987,0,,,,
Iran,1988,18,,,,
Iran,1989,14,,,,
Iran,1990,10,,,,
Iran,1991,2,,,,
Iran,1992,9,,,,
Iran,1994,74,,,,
Iran,1995,0,,,,
Iran,1996,3,,,,
Iran,1998,6,,,,
Iran,1999,4,,,,
Iran,2000,5,,,,
Iran,2001,0,,,,
Iran,2003,0,,,,
Iran,2005,13,,,,
Iran,2006,48,,,,
Iran,2007,24,,,,
Iran,2008,26,,,,
Iran,2009,97,,,,
Iran,2010,115,,,,
Iran,2011,18,,,,
Iran,2012,12,,,,
Iran,2013,39,,,,
Iran,2014,13,,,,
Iran,2015,38,,,,
Iran,2016,12,,,,
Iran,2017,39,,,,
Saudi Arabia,1977,0,,,,
Saudi Arabia,1979,5,,,,
Saudi Arabia,1984,0,,,,
Saudi Arabia,1985,1,,,,
Saudi Arabia,1986,62,,,,
Saudi Arabia,1988,0,,,,
Saudi Arabia,1989,1,,,,
Saudi Arabia,1991,0,,,,
Saudi Arabia,1994,0,,,,
Saudi Arabia,1995,14,,,,
Saudi Arabia,1996,19,,,,
Saudi Arabia,2000,1,,,,
Saudi Arabia,2001,2,,,,
Saudi Arabia,2002,1,,,,
Saudi Arabia,2003,55,,,,
Saudi Arabia,2004,64,,,,
Saudi Arabia,2005,1,,,,
Saudi Arabia,2006,4,,,,
Saudi Arabia,2007,3,,,,
