country,date,incidents,,,,
Israel,1971,1,,,,
Israel,1972,15,,,,
Israel,1973,1,,,,
Israel,1974,12,,,,
Israel,1975,2,,,,
Israel,1976,2,,,,
Israel,1977,6,,,,
Israel,1978,23,,,,
Israel,1979,130,,,,
Israel,1980,79,,,,
Israel,1981,36,,,,
Israel,1982,71,,,,
Israel,1983,31,,,,
Israel,1984,25,,,,
Israel,1985,21,,,,
Israel,1986,48,,,,
Israel,1987,23,,,,
Israel,1988,35,,,,
Israel,1989,87,,,,
Israel,1990,98,,,,
Israel,1991,64,,,,
Israel,1992,78,,,,
Israel,1994,55,,,,
Israel,1995,13,,,,
Israel,1996,19,,,,
Israel,1997,13,,,,
Israel,1998,14,,,,
Israel,1999,8,,,,
Israel,2000,15,,,,
Israel,2001,79,,,,
Israel,2002,75,,,,
Israel,2003,38,,,,
Israel,2004,19,,,,
Israel,2005,43,,,,
Israel,2006,81,,,,
Israel,2007,53,,,,
Israel,2008,134,,,,
Israel,2009,36,,,,
Israel,2010,14,,,,
Israel,2011,51,,,,
Israel,2012,65,,,,
Israel,2013,37,,,,
Israel,2014,293,,,,
Israel,2015,58,,,,
Israel,2016,50,,,,
Israel,2017,32,,,,
United States,1970,468,,,,
United States,1971,247,,,,
United States,1972,68,,,,
United States,1973,58,,,,
United States,1974,94,,,,
United States,1975,149,,,,
United States,1976,105,,,,
United States,1977,130,,,,
United States,1978,87,,,,
United States,1979,69,,,,
United States,1980,67,,,,
United States,1981,74,,,,
United States,1982,78,,,,
United States,1983,44,,,,
United States,1984,63,,,,
United States,1985,40,,,,
United States,1986,49,,,,
United States,1987,34,,,,
United States,1988,27,,,,
United States,1989,42,,,,
United States,1990,32,,,,
United States,1991,30,,,,
United States,1992,32,,,,
United States,1994,55,,,,
United States,1995,60,,,,
United States,1996,35,,,,
United States,1997,40,,,,
United States,1998,31,,,,
United States,1999,53,,,,
United States,2000,32,,,,
United States,2001,41,,,,
United States,2002,33,,,,
United States,2003,33,,,,
United States,2004,9,,,,
United States,2005,21,,,,
United States,2006,6,,,,
United States,2007,8,,,,
United States,2008,18,,,,
United States,2009,11,,,,
United States,2010,17,,,,
United States,2011,10,,,,
United States,2012,20,,,,
United States,2013,20,,,,
United States,2014,29,,,,
United States,2015,38,,,,
United States,2016,64,,,,
United States,2017,65,,,,
Iran,1970,5,,,,
Iran,1971,11,,,,
Iran,1972,15,,,,
Iran,1973,4,,,,
Iran,1974,11,,,,
Iran,1975,13,,,,
Iran,1976,4,,,,
Iran,1977,5,,,,
Iran,1978,27,,,,
Iran,1979,82,,,,
Iran,1980,67,,,,
Iran,1981,108,,,,
Iran,1982,26,,,,
Iran,1983,10,,,,
Iran,1984,17,,,,
Iran,1985,3,,,,
Iran,1986,6,,,,
Iran,1987,1,,,,
Iran,1988,6,,,,
Iran,1989,6,,,,
Iran,1990,11,,,,
Iran,1991,9,,,,
Iran,1992,16,,,,
