DATE,rank_pop,REGION,COUNTRY,CITY,Latitude,Longitude,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED,
8/22/13,0,Middle East & North Africa,Israel,Acre,32.92344,35.08588,Abdullah Azzam Brigades,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0,
8/22/13,1,Middle East & North Africa,Israel,Nahariya,33.01214,35.09921,Abdullah Azzam Brigades,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0,
8/22/13,2,Middle East & North Africa,Israel,Nahariya,33.01214,35.09921,Abdullah Azzam Brigades,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0,
7/9/14,3,Middle East & North Africa,Israel,Dimona,31.06674,35.02684,"Abdullah Azzam Brigades,Hamas (Islamic Resistance Movement)",Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0,
9/18/15,4,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,"Abdullah Azzam Brigades,Sheikh Omar Hadid Brigade",Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0,
10/5/80,5,Middle East & North Africa,Israel,Givatayim,32.07023,34.80985,Abu Hassan,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General),2,7,
12/26/88,6,Middle East & North Africa,Israel,Al-Manara,25.1458,55.20958,Abu Nidal Organization (ANO),Armed Assault,Firearms,Military,3,7,
8/20/88,7,Middle East & North Africa,Israel,Haifa,32.80124,35.00327,Abu Nidal Organization (ANO),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,1,25,
3/7/84,8,Middle East & North Africa,Israel,Ashdod,31.80793,34.65733,Abu Nidal Organization (ANO),Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,3,9,
6/10/92,9,Middle East & North Africa,Israel,Beit Shemesh,31.73693,34.98632,Agudat Israel Party,Armed Assault,Melee,Private Citizens & Property,0,1,
10/5/16,10,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0,
7/1/16,11,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,"Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,Hamas (Islamic Resistance Movement)",Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution,0,0,
8/21/16,12,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,"Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,Popular Front for the Liberation of Palestine (PFLP)",Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0,
3/4/10,13,Middle East & North Africa,Israel,Haifa,32.80124,35.00327,Ahrar Al-Jalil (Free People of the Galilee),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,2,12,
3/18/08,14,Middle East & North Africa,Israel,Jerusalem,31.78004,35.21874,Ahrar Al-Jalil (Free People of the Galilee),Armed Assault,Melee,Religious Figures/Institutions,0,1,
7/2/08,15,Middle East & North Africa,Israel,Jerusalem,31.78004,35.21874,"Ahrar Al-Jalil (Free People of the Galilee),Al-Aqsa Martyrs Brigade,Popular Front for the Liberation of Palestine (PFLP)",Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Private Citizens & Property,4,45,
2/26/13,16,Middle East & North Africa,Israel,Ashkelon,31.66667,34.56971,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0,
12/21/10,17,Middle East & North Africa,Israel,Ashkelon,31.66667,34.56971,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution,0,1,
5/1/08,18,Middle East & North Africa,Israel,Sederot,44.20173,5.53687,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Business,0,Unknown,
3/21/08,19,Middle East & North Africa,Israel,Hebron,31.53449,35.08619,Al-Aqsa Martyrs Brigade,Armed Assault,Firearms,Private Citizens & Property,0,1,
3/19/08,20,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,Unknown,Unknown,
11/24/07,21,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0,
