GTD ID,DATE,REGION,COUNTRY,CITY,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
201712290015,12/29/17,Middle East & North Africa,Israel,Israel,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201712290014,12/29/17,Middle East & North Africa,Israel,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201712290013,12/29/17,Middle East & North Africa,Israel,Kfar Aza,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201712170022,12/17/17,Middle East & North Africa,Israel,Negev,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201712160013,12/16/17,Sub-Saharan Africa,Gabon,Libreville,Unknown,Assassination,Melee,Journalists & Media,0,2
201712150013,12/15/17,Middle East & North Africa,West Bank and Gaza Strip,Beit Hanoun,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201712150011,12/15/17,Middle East & North Africa,West Bank and Gaza Strip,Ramallah,Palestinian Extremists,Armed Assault,"Melee,Fake Weapons",Police,1,1
201712130015,12/13/17,Middle East & North Africa,West Bank and Gaza Strip,Beit Hanoun,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (Diplomatic),0,0
201712130014,12/13/17,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201712120029,12/12/17,Middle East & North Africa,West Bank and Gaza Strip,Gaza,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,2,0
201712120014,12/12/17,Middle East & North Africa,West Bank and Gaza Strip,Salfit,Palestinian Extremists,Armed Assault,Melee,Military,0,1
201712110020,12/11/17,Middle East & North Africa,Israel,Ashkelon,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201712110019,12/11/17,Western Europe,Sweden,Malmo,Anti-Semitic extremists,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201712100012,12/10/17,Middle East & North Africa,Israel,Jerusalem,Palestinian Extremists,Armed Assault,Melee,Transportation,0,1
201712100007,12/10/17,Middle East & North Africa,West Bank and Gaza Strip,Jalazun,Unknown,Armed Assault,Firearms,Military,0,0
201712090024,12/9/17,Western Europe,Sweden,Gothenburg,Anti-Semitic extremists,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,0,0
201712080016,12/8/17,Middle East & North Africa,Israel,Unknown,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201712080015,12/8/17,Middle East & North Africa,Israel,Sderot,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution,0,0
201712070018,12/7/17,Western Europe,Netherlands,Amsterdam,Palestinian Extremists,Facility/Infrastructure Attack,Melee,Business,0,0
201711300040,11/29/17,Middle East & North Africa,West Bank and Gaza Strip,Kusra,Israeli settlers,Armed Assault,Firearms,Private Citizens & Property,1,0
201711300025,11/30/17,Middle East & North Africa,Israel,Arad,Bedouin Israeli extremists,Armed Assault,Melee,Military,1,0
201711300019,11/30/17,Middle East & North Africa,Israel,Unknown,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201711180028,11/17/17,Middle East & North Africa,West Bank and Gaza Strip,Alon Shvut,Palestinian Extremists,Armed Assault,"Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)","Military,Private Citizens & Property",0,3
201710180037,10/18/17,Middle East & North Africa,West Bank and Gaza Strip,Alon Shvut,Palestinian Extremists,Armed Assault,Melee,Military,0,1
201710150041,10/15/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,Unknown,Armed Assault,Incendiary,Police,0,1
201710040061,10/4/17,Middle East & North Africa,Israel,Kafr Qassem,Palestinian Extremists,Armed Assault,"Melee,Melee",Private Citizens & Property,1,0
201709260013,9/26/17,Middle East & North Africa,West Bank and Gaza Strip,Har Adar,Palestinian Extremists,Armed Assault,Firearms,"Police,Police",4,1
201709170019,9/17/17,Middle East & North Africa,West Bank and Gaza Strip,Bethlehem,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
201709130020,9/13/17,Middle East & North Africa,West Bank and Gaza Strip,Kiryat Arba,Palestinian Extremists,Armed Assault,Melee,Military,0,1
