,GTD ID,DATE,REGION,COUNTRY,CITY,Latitude,Longitude,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
0,201712290015,12/29/17,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
1,201712290014,12/29/17,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
2,201712290013,12/29/17,Middle East & North Africa,Israel,Kfar Aza,31.48198,34.53342,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
3,201712170022,12/17/17,Middle East & North Africa,Israel,Negev,31.36387,34.71895,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
4,201712160013,12/16/17,Sub-Saharan Africa,Gabon,Libreville,0.39325,9.44633,Unknown,Assassination,Melee,Journalists & Media,0,2
5,201712150013,12/15/17,Middle East & North Africa,West Bank and Gaza Strip,Beit Hanoun,31.53872,34.53817,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
6,201712150011,12/15/17,Middle East & North Africa,West Bank and Gaza Strip,Ramallah,31.90132,35.19986,Palestinian Extremists,Armed Assault,"Melee,Fake Weapons",Police,1,1
7,201712130015,12/13/17,Middle East & North Africa,West Bank and Gaza Strip,Beit Hanoun,31.53872,34.53817,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (Diplomatic),0,0
8,201712130014,12/13/17,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
9,201712120029,12/12/17,Middle East & North Africa,West Bank and Gaza Strip,Gaza,54.7785,26.04165,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,2,0
10,201712120014,12/12/17,Middle East & North Africa,West Bank and Gaza Strip,Salfit,32.08512,35.18238,Palestinian Extremists,Armed Assault,Melee,Military,0,1
11,201712110020,12/11/17,Middle East & North Africa,Israel,Ashkelon,31.66667,34.56971,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
12,201712110019,12/11/17,Western Europe,Sweden,Malmo,55.5967,13.0011,Anti-Semitic extremists,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
13,201712100012,12/10/17,Middle East & North Africa,Israel,Jerusalem,31.78004,35.21874,Palestinian Extremists,Armed Assault,Melee,Transportation,0,1
14,201712100007,12/10/17,Middle East & North Africa,West Bank and Gaza Strip,Jalazun,,,Unknown,Armed Assault,Firearms,Military,0,0
15,201712090024,12/9/17,Western Europe,Sweden,Gothenburg,57.70068,11.96823,Anti-Semitic extremists,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,0,0
16,201712080016,12/8/17,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
17,201712080015,12/8/17,Middle East & North Africa,Israel,Sderot,31.52611,34.59753,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution,0,0
18,201712070018,12/7/17,Western Europe,Netherlands,Amsterdam,52.36994,4.90788,Palestinian Extremists,Facility/Infrastructure Attack,Melee,Business,0,0
19,201711300040,11/29/17,Middle East & North Africa,West Bank and Gaza Strip,Kusra,25.45851,84.70473,Israeli settlers,Armed Assault,Firearms,Private Citizens & Property,1,0
20,201711300025,11/30/17,Middle East & North Africa,Israel,Arad,46.18067,21.3221,Bedouin Israeli extremists,Armed Assault,Melee,Military,1,0
21,201711300019,11/30/17,Middle East & North Africa,Israel,Israel,31.78004,35.21874,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
22,201711180028,11/17/17,Middle East & North Africa,West Bank and Gaza Strip,Alon Shvut,31.65562,35.12416,Palestinian Extremists,Armed Assault,"Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)","Military,Private Citizens & Property",0,3
23,201710180037,10/18/17,Middle East & North Africa,West Bank and Gaza Strip,Alon Shvut,31.65562,35.12416,Palestinian Extremists,Armed Assault,Melee,Military,0,1
