TERRORIST,DATE,INCIDENTS,FATALITIES,INJURED,COUNTRY,ATTACK TYPE
Al-Aqsa Martyrs Brigade,2000,2,1,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,2,1,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,5,3,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,2,1,1,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2001,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,2,1,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,2,1,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2001,1,1,0,West Bank and Gaza Strip,Assassination
Al-Aqsa Martyrs Brigade,2001,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2001,1,1,0,Israel,Armed Assault
Al-Aqsa Martyrs Brigade,2002,2,1,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,6,4,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,4,4,0,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,1,1,0,West Bank and Gaza Strip,"Hostage Taking (Kidnapping),Armed Assault"
Al-Aqsa Martyrs Brigade,2002,4,1,3,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,4,3,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,5,3,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,3,1,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,5,1,4,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,2,1,1,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,2,1,1,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,1,1,0,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,1,1,0,West Bank and Gaza Strip,"Hostage Taking (Kidnapping),Armed Assault"
Al-Aqsa Martyrs Brigade,2002,6,1,5,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,3,1,2,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,2,2,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,3,2,1,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,6,2,4,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,3,1,2,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2003,2,0,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2003,4,1,3,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2003,1,1,0,West Bank and Gaza Strip,Assassination
Al-Aqsa Martyrs Brigade,2003,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2003,7,4,3,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2003,2,0,2,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2003,1,1,0,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2003,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2003,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2003,4,0,4,Israel,Armed Assault
Al-Aqsa Martyrs Brigade,2004,2,0,2,West Bank and Gaza Strip,"Bombing/Explosion,Armed Assault"
Al-Aqsa Martyrs Brigade,2004,1,1,0,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2004,0,0,0,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2004,4,1,3,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2005,6,3,3,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2005,2,1,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2005,2,0,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2005,5,1,4,West Bank and Gaza Strip,Unknown
Al-Aqsa Martyrs Brigade,2005,5,1,4,Israel,Armed Assault
Al-Aqsa Martyrs Brigade,2006,1,1,0,West Bank and Gaza Strip,"Hostage Taking (Kidnapping),Bombing/Explosion"
Al-Aqsa Martyrs Brigade,2006,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2006,3,3,0,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2006,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2006,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2006,0,Unknown,Unknown,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2006,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2006,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2006,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2006,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,Unknown,Unknown,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,4,4,0,Israel,Armed Assault
Al-Aqsa Martyrs Brigade,2007,1,1,0,Israel,Armed Assault
Al-Aqsa Martyrs Brigade,2007,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,Unknown,Unknown,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2007,0,Unknown,Unknown,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2008,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2008,0,0,0,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2008,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2008,0,0,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2008,0,0,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2008,0,0,Unknown,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2008,1,0,1,Israel,Armed Assault
Al-Aqsa Martyrs Brigade,2008,0,Unknown,Unknown,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2008,2,1,1,Israel,Armed Assault
Al-Aqsa Martyrs Brigade,2009,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2010,1,0,1,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2013,1,1,0,West Bank and Gaza Strip,Hostage Taking (Kidnapping)
Al-Aqsa Martyrs Brigade,2013,2,1,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2013,0,0,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2013,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2014,2,0,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2015,3,1,2,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2015,1,0,1,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2015,0,0,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2015,0,0,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2016,4,1,3,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2016,4,1,3,West Bank and Gaza Strip,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2001,1,0,1,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2001,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2002,0,Unknown,Unknown,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2002,7,4,3,West Bank and Gaza Strip,"Bombing/Explosion,Armed Assault"
Al-Aqsa Martyrs Brigade,2002,2,2,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2003,1,1,0,West Bank and Gaza Strip,Armed Assault
Al-Aqsa Martyrs Brigade,2006,0,Unknown,Unknown,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2008,0,0,0,Israel,Bombing/Explosion
Al-Aqsa Martyrs Brigade,2008,4,2,2,Israel,"Armed Assault,Bombing/Explosion"
Hamas (Islamic Resistance Movement),1989,1,1,0,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1989,0,0,0,Israel,Bombing/Explosion
Hamas (Islamic Resistance Movement),1990,1,0,1,Israel,Assassination
Hamas (Islamic Resistance Movement),1990,3,3,0,Israel,Assassination
Hamas (Islamic Resistance Movement),1991,1,0,1,Israel,Armed Assault
Hamas (Islamic Resistance Movement),1991,4,1,3,Israel,Armed Assault
Hamas (Islamic Resistance Movement),1992,1,0,1,West Bank and Gaza Strip,Hostage Taking (Kidnapping)
Hamas (Islamic Resistance Movement),1992,1,1,0,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1992,4,4,0,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1992,2,2,0,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1992,1,1,0,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1992,1,1,0,Israel,Hostage Taking (Kidnapping)
Hamas (Islamic Resistance Movement),1992,1,1,0,Israel,Assassination
Hamas (Islamic Resistance Movement),1992,1,1,0,Israel,Assassination
Hamas (Islamic Resistance Movement),1992,1,0,1,Israel,Assassination
Hamas (Islamic Resistance Movement),1994,1,0,1,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1994,1,0,1,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),1994,2,0,2,West Bank and Gaza Strip,Unarmed Assault
Hamas (Islamic Resistance Movement),1994,2,1,1,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1994,2,2,0,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),1994,4,1,3,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1994,3,0,3,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1994,1,1,0,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1994,2,0,2,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1994,3,2,1,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1994,1,1,0,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1994,1,Unknown,1,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1994,1,1,Unknown,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1994,1,1,Unknown,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1994,1,Unknown,1,West Bank and Gaza Strip,Assassination
Hamas (Islamic Resistance Movement),1994,1,1,0,Israel,Assassination
Hamas (Islamic Resistance Movement),1994,0,0,0,Israel,Unknown
Hamas (Islamic Resistance Movement),1994,6,2,4,Israel,Unknown
Hamas (Islamic Resistance Movement),1994,1,1,0,Israel,Hostage Taking (Kidnapping)
Hamas (Islamic Resistance Movement),1994,2,0,2,Israel,Assassination
Hamas (Islamic Resistance Movement),1994,4,0,4,Israel,Armed Assault
Hamas (Islamic Resistance Movement),1994,1,1,0,Israel,Assassination
Hamas (Islamic Resistance Movement),1994,1,1,Unknown,Israel,Armed Assault
Hamas (Islamic Resistance Movement),1994,3,1,2,Israel,Armed Assault
Hamas (Islamic Resistance Movement),1995,4,1,3,West Bank and Gaza Strip,Unknown
Hamas (Islamic Resistance Movement),1995,2,1,1,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1998,2,2,0,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),1998,3,3,0,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),1998,2,2,0,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),1999,1,1,0,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),1999,2,0,2,West Bank and Gaza Strip,Armed Assault
Hamas (Islamic Resistance Movement),2000,4,1,3,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),2001,1,0,1,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),2001,5,2,3,West Bank and Gaza Strip,"Bombing/Explosion,Armed Assault"
Hamas (Islamic Resistance Movement),2001,3,1,2,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),2001,1,1,0,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),2001,4,3,1,West Bank and Gaza Strip,"Bombing/Explosion,Armed Assault"
Hamas (Islamic Resistance Movement),2001,0,0,0,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),2001,7,3,4,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),2001,10,3,7,West Bank and Gaza Strip,Bombing/Explosion
Hamas (Islamic Resistance Movement),2001,3,3,0,West Bank and Gaza Strip,Armed Assault
